,TotalPremium,TotalClaims,CustomValueEstimate,AnnualPremium,RiskScore,PastClaims,Margin
TotalPremium,1.0,0.3314036157870085,0.7145461503949195,1.0,0.822078743782291,0.19731342299630084,-0.15069429127020742
TotalClaims,0.3314036157870085,1.0,0.18211569514016643,0.3314036157870085,0.36512806366515366,0.1970540402552375,-0.9826554558997616
CustomValueEstimate,0.7145461503949195,0.18211569514016643,1.0,0.7145461503949195,0.411582181384385,0.10492974068902196,-0.050376912876579166
AnnualPremium,1.0,0.3314036157870085,0.7145461503949195,1.0,0.822078743782291,0.19731342299630084,-0.15069429127020742
RiskScore,0.822078743782291,0.36512806366515366,0.411582181384385,0.822078743782291,1.0,0.22839247093434162,-0.22100053344041246
PastClaims,0.19731342299630084,0.1970540402552375,0.10492974068902196,0.19731342299630084,0.22839247093434162,1.0,-0.16769014866997892
Margin,-0.15069429127020742,-0.9826554558997616,-0.050376912876579166,-0.15069429127020742,-0.22100053344041246,-0.16769014866997892,1.0
